dataset,series,domain,anomaly_kind,detector,tier,config,auc_pr,vus_pr,affil_f1,event_f1,runtime_s,tune_s,peak_mb,n_test,n_channels,anomaly_frac,status
ucr,066_UCR_Anomaly_DISTORTEDinsectEPG2_3700_8000_8025,DISTORTEDinsectEPG2,,chronos_small_resid,default,,0.01051,0.01456,0.94216,0.01021,29.99,,159.4,6298,1,0.00413,ok
ucr,066_UCR_Anomaly_DISTORTEDinsectEPG2_3700_8000_8025,DISTORTEDinsectEPG2,,chronos_small_quantile,default,,0.04203,0.04084,0.7632,1.0,29.99,,159.4,6298,1,0.00413,ok
ucr,066_UCR_Anomaly_DISTORTEDinsectEPG2_3700_8000_8025,DISTORTEDinsectEPG2,,chronos_base_resid,default,,0.01473,0.01512,0.78356,0.01395,2.71,,666.4,6298,1,0.00413,ok
ucr,066_UCR_Anomaly_DISTORTEDinsectEPG2_3700_8000_8025,DISTORTEDinsectEPG2,,chronos_base_quantile,default,,0.01675,0.0167,0.66814,1.0,2.71,,666.4,6298,1,0.00413,ok
ucr,066_UCR_Anomaly_DISTORTEDinsectEPG2_3700_8000_8025,DISTORTEDinsectEPG2,,timesfm_resid,default,,0.01698,0.01565,0.68521,0.01058,9.98,,1894.7,6298,1,0.00413,ok
ucr,066_UCR_Anomaly_DISTORTEDinsectEPG2_3700_8000_8025,DISTORTEDinsectEPG2,,timesfm_quantile,default,,0.0124,0.01182,0.67156,1.0,9.98,,1894.7,6298,1,0.00413,ok
ucr,066_UCR_Anomaly_DISTORTEDinsectEPG2_3700_8000_8025,DISTORTEDinsectEPG2,,tirex_resid,default,,0.02496,0.02266,0.6777,0.01344,8.35,,1757.0,6298,1,0.00413,ok
ucr,066_UCR_Anomaly_DISTORTEDinsectEPG2_3700_8000_8025,DISTORTEDinsectEPG2,,tirex_quantile,default,,0.03535,0.02966,0.66713,1.0,8.35,,1757.0,6298,1,0.00413,ok
ucr,066_UCR_Anomaly_DISTORTEDinsectEPG2_3700_8000_8025,DISTORTEDinsectEPG2,,iforest,default,,0.02379,0.03452,0.78437,0.25,1.39,,1585.6,6298,1,0.00413,ok
ucr,066_UCR_Anomaly_DISTORTEDinsectEPG2_3700_8000_8025,DISTORTEDinsectEPG2,,iforest,tuned,"{'w': 50, 'n_estimators': 200}",0.04083,0.05475,0.76634,0.25,1.78,6.58,0.0,6298,1,0.00413,ok
ucr,066_UCR_Anomaly_DISTORTEDinsectEPG2_3700_8000_8025,DISTORTEDinsectEPG2,,lof,default,,0.06778,0.10541,0.816,0.5,2.4,,1585.6,6298,1,0.00413,ok
