dataset,series,domain,anomaly_kind,detector,tier,config,auc_pr,vus_pr,affil_f1,event_f1,runtime_s,tune_s,peak_mb,n_test,n_channels,anomaly_frac,status
ucr,030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197,DISTORTEDInternalBleeding19,,chronos_base_quantile,default,,0.00574,0.0057,0.80256,1.0,0.37,,1699.5,4500,1,0.00244,ok
smd,machine-1-1,server,,knn,tuned,"{'w': 50, 'k': 1}",0.65556,0.66838,0.90452,0.55857,34.8,28.15,0.0,28479,38,0.0946,ok
ucr,030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197,DISTORTEDInternalBleeding19,,timesfm_resid,default,,0.04662,0.03111,0.69015,0.22827,2.07,,2046.7,4500,1,0.00244,ok
ucr,030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197,DISTORTEDInternalBleeding19,,timesfm_quantile,default,,0.00938,0.00784,0.68376,1.0,2.07,,2046.7,4500,1,0.00244,ok
ucr,030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197,DISTORTEDInternalBleeding19,,tirex_resid,default,,0.01184,0.01134,0.66437,0.08872,4.79,,1718.2,4500,1,0.00244,ok
ucr,030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197,DISTORTEDInternalBleeding19,,tirex_quantile,default,,0.00244,0.00367,0.66667,1.0,4.79,,1718.2,4500,1,0.00244,ok
ucr,030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197,DISTORTEDInternalBleeding19,,iforest,default,,0.01034,0.01451,0.67633,0.2,1.15,,1594.1,4500,1,0.00244,ok
smd,machine-1-1,server,,ae,default,,0.55237,0.62213,0.92088,0.7619,13.53,,2246.8,28479,38,0.0946,ok
ucr,030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197,DISTORTEDInternalBleeding19,,iforest,tuned,"{'w': 50, 'n_estimators': 200}",0.00852,0.0112,0.68345,0.16344,1.5,5.48,0.0,4500,1,0.00244,ok
ucr,030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197,DISTORTEDInternalBleeding19,,lof,default,,0.04619,0.06212,0.66745,0.66667,0.19,,1594.1,4500,1,0.00244,ok
ucr,030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197,DISTORTEDInternalBleeding19,,lof,tuned,"{'w': 50, 'k': 30}",0.97775,0.69253,0.99966,1.0,0.59,2.28,0.0,4500,1,0.00244,ok
ucr,030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197,DISTORTEDInternalBleeding19,,knn,default,,0.68182,0.59562,0.99902,1.0,0.11,,1594.1,4500,1,0.00244,ok
