dataset,series,domain,anomaly_kind,detector,tier,config,auc_pr,vus_pr,affil_f1,event_f1,runtime_s,tune_s,peak_mb,n_test,n_channels,anomaly_frac,status
ucr,067_UCR_Anomaly_DISTORTEDinsectEPG3_5200_7000_7050,DISTORTEDinsectEPG3,,chronos_small_resid,default,,0.01028,0.01365,0.65446,0.00458,29.98,,146.7,4798,1,0.01063,ok
ucr,067_UCR_Anomaly_DISTORTEDinsectEPG3_5200_7000_7050,DISTORTEDinsectEPG3,,chronos_small_quantile,default,,0.00947,0.01405,0.68348,1.0,29.98,,146.7,4798,1,0.01063,ok
ucr,067_UCR_Anomaly_DISTORTEDinsectEPG3_5200_7000_7050,DISTORTEDinsectEPG3,,chronos_base_resid,default,,0.01171,0.01546,0.69393,0.0057,2.63,,625.8,4798,1,0.01063,ok
ucr,067_UCR_Anomaly_DISTORTEDinsectEPG3_5200_7000_7050,DISTORTEDinsectEPG3,,chronos_base_quantile,default,,0.01095,0.01546,0.70924,1.0,2.63,,625.8,4798,1,0.01063,ok
ucr,067_UCR_Anomaly_DISTORTEDinsectEPG3_5200_7000_7050,DISTORTEDinsectEPG3,,timesfm_resid,default,,0.00998,0.01411,0.76899,0.00551,8.69,,1894.7,4798,1,0.01063,ok
ucr,067_UCR_Anomaly_DISTORTEDinsectEPG3_5200_7000_7050,DISTORTEDinsectEPG3,,timesfm_quantile,default,,0.01006,0.01499,0.82261,1.0,8.69,,1894.7,4798,1,0.01063,ok
ucr,067_UCR_Anomaly_DISTORTEDinsectEPG3_5200_7000_7050,DISTORTEDinsectEPG3,,tirex_resid,default,,0.01304,0.01698,0.70299,0.00636,7.32,,1729.9,4798,1,0.01063,ok
ucr,067_UCR_Anomaly_DISTORTEDinsectEPG3_5200_7000_7050,DISTORTEDinsectEPG3,,tirex_quantile,default,,0.01863,0.02379,0.78201,1.0,7.32,,1729.9,4798,1,0.01063,ok
ucr,067_UCR_Anomaly_DISTORTEDinsectEPG3_5200_7000_7050,DISTORTEDinsectEPG3,,iforest,default,,0.02516,0.03607,0.74689,0.21212,1.26,,1585.6,4798,1,0.01063,ok
ucr,067_UCR_Anomaly_DISTORTEDinsectEPG3_5200_7000_7050,DISTORTEDinsectEPG3,,iforest,tuned,"{'w': 50, 'n_estimators': 100}",0.04666,0.04955,0.74846,0.20879,0.98,6.61,0.0,4798,1,0.01063,ok
ucr,067_UCR_Anomaly_DISTORTEDinsectEPG3_5200_7000_7050,DISTORTEDinsectEPG3,,lof,default,,0.00951,0.01392,0.73302,0.0,2.4,,1585.6,4798,1,0.01063,ok
ucr,067_UCR_Anomaly_DISTORTEDinsectEPG3_5200_7000_7050,DISTORTEDinsectEPG3,,lof,tuned,"{'w': 50, 'k': 50}",0.04332,0.04514,0.71464,0.16383,0.99,3.06,0.0,4798,1,0.01063,ok
ucr,067_UCR_Anomaly_DISTORTEDinsectEPG3_5200_7000_7050,DISTORTEDinsectEPG3,,knn,default,,0.02413,0.03168,0.71576,0.16667,0.12,,1585.6,4798,1,0.01063,ok
ucr,067_UCR_Anomaly_DISTORTEDinsectEPG3_5200_7000_7050,DISTORTEDinsectEPG3,,knn,tuned,"{'w': 50, 'k': 5}",0.08016,0.07991,0.7441,0.3131,0.42,1.87,0.0,4798,1,0.01063,ok
ucr,067_UCR_Anomaly_DISTORTEDinsectEPG3_5200_7000_7050,DISTORTEDinsectEPG3,,ae,default,,0.01064,0.01613,0.71915,0.07738,1.72,,1600.9,4798,1,0.01063,ok
ucr,067_UCR_Anomaly_DISTORTEDinsectEPG3_5200_7000_7050,DISTORTEDinsectEPG3,,ae,tuned,"{'w': 50, 'hidden': 32, 'latent': 16}",0.0228,0.02916,0.71423,0.1297,4.56,10.62,0.0,4798,1,0.01063,ok
ucr,070_UCR_Anomaly_DISTORTEDltstdbs30791AI_17555_52600_52800,DISTORTEDltstdbs30791AI,,chronos_small_resid,default,,0.01446,0.01565,0.75468,0.00924,0.69,,1738.6,38568,1,0.00521,ok
ucr,070_UCR_Anomaly_DISTORTEDltstdbs30791AI_17555_52600_52800,DISTORTEDltstdbs30791AI,,chronos_small_quantile,default,,0.00542,0.00796,0.73726,1.0,0.69,,1738.6,38568,1,0.00521,ok
ucr,070_UCR_Anomaly_DISTORTEDltstdbs30791AI_17555_52600_52800,DISTORTEDltstdbs30791AI,,chronos_base_resid,default,,0.01598,0.01855,0.72016,0.00905,1.0,,1970.5,38568,1,0.00521,ok
ucr,070_UCR_Anomaly_DISTORTEDltstdbs30791AI_17555_52600_52800,DISTORTEDltstdbs30791AI,,chronos_base_quantile,default,,0.00606,0.00844,0.68319,1.0,1.0,,1970.5,38568,1,0.00521,ok
ucr,070_UCR_Anomaly_DISTORTEDltstdbs30791AI_17555_52600_52800,DISTORTEDltstdbs30791AI,,timesfm_resid,default,,0.0582,0.03617,0.81997,0.0118,12.0,,2046.7,38568,1,0.00521,ok
ucr,070_UCR_Anomaly_DISTORTEDltstdbs30791AI_17555_52600_52800,DISTORTEDltstdbs30791AI,,timesfm_quantile,default,,0.00977,0.01114,0.67739,1.0,12.0,,2046.7,38568,1,0.00521,ok
ucr,070_UCR_Anomaly_DISTORTEDltstdbs30791AI_17555_52600_52800,DISTORTEDltstdbs30791AI,,tirex_resid,default,,0.02603,0.01637,0.81015,0.00799,17.9,,2033.8,38568,1,0.00521,ok
ucr,070_UCR_Anomaly_DISTORTEDltstdbs30791AI_17555_52600_52800,DISTORTEDltstdbs30791AI,,tirex_quantile,default,,0.00595,0.00839,0.67543,1.0,17.9,,2033.8,38568,1,0.00521,ok
ucr,070_UCR_Anomaly_DISTORTEDltstdbs30791AI_17555_52600_52800,DISTORTEDltstdbs30791AI,,iforest,default,,0.71441,0.37042,0.99894,0.38281,3.06,,1594.1,38568,1,0.00521,ok
ucr,070_UCR_Anomaly_DISTORTEDltstdbs30791AI_17555_52600_52800,DISTORTEDltstdbs30791AI,,iforest,tuned,"{'w': 100, 'n_estimators': 100}",0.70793,0.36866,0.99894,0.38204,4.46,10.04,0.0,38568,1,0.00521,ok
ucr,070_UCR_Anomaly_DISTORTEDltstdbs30791AI_17555_52600_52800,DISTORTEDltstdbs30791AI,,lof,default,,0.80914,0.65124,0.99839,0.875,1.65,,1594.1,38568,1,0.00521,ok
ucr,070_UCR_Anomaly_DISTORTEDltstdbs30791AI_17555_52600_52800,DISTORTEDltstdbs30791AI,,lof,tuned,"{'w': 200, 'k': 10}",0.93993,0.84919,0.99854,1.0,2.92,5.58,0.0,38568,1,0.00521,ok
ucr,070_UCR_Anomaly_DISTORTEDltstdbs30791AI_17555_52600_52800,DISTORTEDltstdbs30791AI,,knn,default,,0.88847,0.68233,0.99854,0.85,1.03,,1594.1,38568,1,0.00521,ok
ucr,070_UCR_Anomaly_DISTORTEDltstdbs30791AI_17555_52600_52800,DISTORTEDltstdbs30791AI,,knn,tuned,"{'w': 100, 'k': 3}",0.8903,0.68321,0.99854,0.85,3.15,3.72,0.0,38568,1,0.00521,ok
ucr,070_UCR_Anomaly_DISTORTEDltstdbs30791AI_17555_52600_52800,DISTORTEDltstdbs30791AI,,ae,default,,0.82803,0.6398,0.99851,0.83333,7.32,,1615.8,38568,1,0.00521,ok
ucr,070_UCR_Anomaly_DISTORTEDltstdbs30791AI_17555_52600_52800,DISTORTEDltstdbs30791AI,,ae,tuned,"{'w': 100, 'hidden': 64, 'latent': 8}",0.84573,0.63676,0.9985,0.875,10.05,36.2,0.0,38568,1,0.00521,ok
ucr,073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495,DISTORTEDpark3m,,chronos_small_resid,default,,0.01639,0.01848,0.69998,0.03102,0.47,,1738.6,30000,1,0.01153,ok
ucr,073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495,DISTORTEDpark3m,,chronos_small_quantile,default,,0.01218,0.01531,0.72929,1.0,0.47,,1738.6,30000,1,0.01153,ok
ucr,073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495,DISTORTEDpark3m,,chronos_base_resid,default,,0.04304,0.01919,0.92747,0.02352,0.81,,1970.5,30000,1,0.01153,ok
ucr,073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495,DISTORTEDpark3m,,chronos_base_quantile,default,,0.01097,0.01402,0.74964,1.0,0.81,,1970.5,30000,1,0.01153,ok
ucr,073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495,DISTORTEDpark3m,,timesfm_resid,default,,0.01778,0.01781,0.71694,0.04198,10.35,,2046.7,30000,1,0.01153,ok
ucr,073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495,DISTORTEDpark3m,,timesfm_quantile,default,,0.01206,0.01495,0.69492,1.0,10.35,,2046.7,30000,1,0.01153,ok
ucr,073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495,DISTORTEDpark3m,,tirex_resid,default,,0.0153,0.01665,0.68392,0.02057,11.9,,2033.8,30000,1,0.01153,ok
ucr,073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495,DISTORTEDpark3m,,tirex_quantile,default,,0.01121,0.01418,0.69689,1.0,11.9,,2033.8,30000,1,0.01153,ok
ucr,073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495,DISTORTEDpark3m,,iforest,default,,0.11911,0.12619,0.67787,0.20714,2.69,,1594.1,30000,1,0.01153,ok
ucr,073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495,DISTORTEDpark3m,,iforest,tuned,"{'w': 400, 'n_estimators': 200}",0.45708,0.48292,0.92668,0.625,6.61,20.43,0.0,30000,1,0.01153,ok
ucr,073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495,DISTORTEDpark3m,,lof,default,,0.47391,0.35203,0.99609,0.39811,3.17,,1594.1,30000,1,0.01153,ok
ucr,073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495,DISTORTEDpark3m,,lof,tuned,"{'w': 100, 'k': 50}",0.47391,0.35203,0.99609,0.39811,4.64,24.27,0.0,30000,1,0.01153,ok
ucr,073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495,DISTORTEDpark3m,,knn,default,,0.50067,0.37513,0.99604,0.41275,1.85,,1594.1,30000,1,0.01153,ok
ucr,073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495,DISTORTEDpark3m,,knn,tuned,"{'w': 100, 'k': 3}",0.51993,0.39545,0.99604,0.4183,3.62,15.95,0.0,30000,1,0.01153,ok
ucr,073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495,DISTORTEDpark3m,,ae,default,,0.05958,0.06,0.65304,0.1078,19.58,,1615.8,30000,1,0.01153,ok
ucr,073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495,DISTORTEDpark3m,,ae,tuned,"{'w': 100, 'hidden': 32, 'latent': 16}",0.04224,0.04011,0.64836,0.09014,22.64,149.03,0.0,30000,1,0.01153,ok
ucr,076_UCR_Anomaly_DISTORTEDresperation10_48000_130700_131880,DISTORTEDresperation10,,chronos_small_resid,default,,0.01056,0.01088,0.79916,0.00637,1.52,,1738.6,147000,1,0.00803,ok
ucr,076_UCR_Anomaly_DISTORTEDresperation10_48000_130700_131880,DISTORTEDresperation10,,chronos_small_quantile,default,,0.00814,0.00868,0.68464,1.0,1.52,,1738.6,147000,1,0.00803,ok
ucr,076_UCR_Anomaly_DISTORTEDresperation10_48000_130700_131880,DISTORTEDresperation10,,chronos_base_resid,default,,0.01074,0.01095,0.68078,0.0064,3.0,,1970.5,147000,1,0.00803,ok
ucr,076_UCR_Anomaly_DISTORTEDresperation10_48000_130700_131880,DISTORTEDresperation10,,chronos_base_quantile,default,,0.00962,0.01006,0.67407,1.0,3.0,,1970.5,147000,1,0.00803,ok
ucr,076_UCR_Anomaly_DISTORTEDresperation10_48000_130700_131880,DISTORTEDresperation10,,timesfm_resid,default,,0.01182,0.01178,0.66973,0.00602,50.25,,2046.7,147000,1,0.00803,ok
ucr,076_UCR_Anomaly_DISTORTEDresperation10_48000_130700_131880,DISTORTEDresperation10,,timesfm_quantile,default,,0.0161,0.01375,0.67072,1.0,50.25,,2046.7,147000,1,0.00803,ok
ucr,076_UCR_Anomaly_DISTORTEDresperation10_48000_130700_131880,DISTORTEDresperation10,,tirex_resid,default,,0.0145,0.01362,0.73879,0.00676,50.64,,2033.8,147000,1,0.00803,ok
ucr,076_UCR_Anomaly_DISTORTEDresperation10_48000_130700_131880,DISTORTEDresperation10,,tirex_quantile,default,,0.00932,0.00979,0.69678,1.0,50.64,,2033.8,147000,1,0.00803,ok
ucr,076_UCR_Anomaly_DISTORTEDresperation10_48000_130700_131880,DISTORTEDresperation10,,iforest,default,,0.02283,0.02356,0.84263,0.03761,8.72,,1594.1,147000,1,0.00803,ok
ucr,076_UCR_Anomaly_DISTORTEDresperation10_48000_130700_131880,DISTORTEDresperation10,,iforest,tuned,"{'w': 200, 'n_estimators': 100}",0.03465,0.0339,0.95503,0.07691,18.98,15.61,0.0,147000,1,0.00803,ok
ucr,076_UCR_Anomaly_DISTORTEDresperation10_48000_130700_131880,DISTORTEDresperation10,,lof,default,,0.19031,0.11518,0.86705,0.07763,9.26,,1594.1,147000,1,0.00803,ok
ucr,076_UCR_Anomaly_DISTORTEDresperation10_48000_130700_131880,DISTORTEDresperation10,,lof,tuned,"{'w': 100, 'k': 10}",0.26096,0.16278,0.99908,0.1025,17.31,10.1,0.0,147000,1,0.00803,ok
ucr,076_UCR_Anomaly_DISTORTEDresperation10_48000_130700_131880,DISTORTEDresperation10,,knn,default,,0.16384,0.11767,0.91283,0.07128,8.61,,1594.1,147000,1,0.00803,ok
ucr,076_UCR_Anomaly_DISTORTEDresperation10_48000_130700_131880,DISTORTEDresperation10,,knn,tuned,"{'w': 200, 'k': 5}",0.158,0.15238,0.75459,0.13579,12.25,10.0,0.0,147000,1,0.00803,ok
ucr,076_UCR_Anomaly_DISTORTEDresperation10_48000_130700_131880,DISTORTEDresperation10,,ae,default,,0.58623,0.4803,0.99908,0.29504,22.23,,1661.4,147000,1,0.00803,ok
ucr,076_UCR_Anomaly_DISTORTEDresperation10_48000_130700_131880,DISTORTEDresperation10,,ae,tuned,"{'w': 100, 'hidden': 32, 'latent': 16}",0.48175,0.35054,0.99908,0.1774,31.22,83.04,0.0,147000,1,0.00803,ok
ucr,079_UCR_Anomaly_DISTORTEDresperation2_30000_168250_168250,DISTORTEDresperation2,,chronos_small_resid,default,,1e-05,1e-05,0.65843,0.0,1.74,,1738.6,170051,1,1e-05,ok
ucr,079_UCR_Anomaly_DISTORTEDresperation2_30000_168250_168250,DISTORTEDresperation2,,chronos_small_quantile,default,,1e-05,2e-05,0.66667,1.0,1.74,,1738.6,170051,1,1e-05,ok
ucr,079_UCR_Anomaly_DISTORTEDresperation2_30000_168250_168250,DISTORTEDresperation2,,chronos_base_resid,default,,1e-05,1e-05,0.6575,0.0,3.19,,1970.5,170051,1,1e-05,ok
ucr,079_UCR_Anomaly_DISTORTEDresperation2_30000_168250_168250,DISTORTEDresperation2,,chronos_base_quantile,default,,1e-05,2e-05,0.66667,1.0,3.19,,1970.5,170051,1,1e-05,ok
ucr,079_UCR_Anomaly_DISTORTEDresperation2_30000_168250_168250,DISTORTEDresperation2,,timesfm_resid,default,,1e-05,2e-05,0.65006,0.0,62.62,,2046.7,170051,1,1e-05,ok
ucr,079_UCR_Anomaly_DISTORTEDresperation2_30000_168250_168250,DISTORTEDresperation2,,timesfm_quantile,default,,1e-05,2e-05,0.66667,1.0,62.62,,2046.7,170051,1,1e-05,ok
ucr,079_UCR_Anomaly_DISTORTEDresperation2_30000_168250_168250,DISTORTEDresperation2,,tirex_resid,default,,1e-05,1e-05,0.65369,0.0,72.43,,2033.8,170051,1,1e-05,ok
