dataset,series,domain,anomaly_kind,detector,tier,config,auc_pr,vus_pr,affil_f1,event_f1,runtime_s,tune_s,peak_mb,n_test,n_channels,anomaly_frac,status
ucr,092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996,DISTORTEDtiltAPB4,,knn,tuned,"{'w': 200, 'k': 1}",3e-05,7e-05,0.56968,0.0,5.33,3.46,0.0,108001,1,2e-05,ok
ucr,092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996,DISTORTEDtiltAPB4,,ae,default,,0.36667,0.08909,0.9503,0.07018,13.31,nan,67.6,108001,1,2e-05,ok
ucr,092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996,DISTORTEDtiltAPB4,,ae,tuned,"{'w': 200, 'hidden': 32, 'latent': 16}",4e-05,8e-05,0.56702,0.0,20.91,50.56,0.0,108001,1,2e-05,ok
ucr,094_UCR_Anomaly_NOISEBIDMC1_2500_5400_5600,NOISEBIDMC1,,iforest,default,,0.61879,0.4995,0.99621,0.76544,1.56,nan,17.0,8500,1,0.02365,ok
ucr,094_UCR_Anomaly_NOISEBIDMC1_2500_5400_5600,NOISEBIDMC1,,lof,default,,0.88414,0.75555,0.99844,0.96773,0.22,nan,17.0,8500,1,0.02365,ok
ucr,094_UCR_Anomaly_NOISEBIDMC1_2500_5400_5600,NOISEBIDMC1,,knn,default,,0.88316,0.74748,0.99868,0.9701,0.15,nan,17.0,8500,1,0.02365,ok
ucr,094_UCR_Anomaly_NOISEBIDMC1_2500_5400_5600,NOISEBIDMC1,,ae,default,,0.86748,0.73645,0.99829,0.96662,1.36,nan,25.5,8500,1,0.02365,ok
ucr,096_UCR_Anomaly_NOISEECG4_5000_16900_17100,NOISEECG4,,iforest,default,,0.00802,0.02813,0.96001,0.00906,2.7,nan,17.0,25000,1,0.00804,ok
ucr,096_UCR_Anomaly_NOISEECG4_5000_16900_17100,NOISEECG4,,iforest,tuned,"{'w': 50, 'n_estimators': 100}",0.00761,0.01406,0.68341,0.00799,2.37,6.6,0.0,25000,1,0.00804,ok
ucr,096_UCR_Anomaly_NOISEECG4_5000_16900_17100,NOISEECG4,,lof,default,,0.9929,0.8501,0.99947,0.9652,0.66,nan,17.0,25000,1,0.00804,ok
ucr,096_UCR_Anomaly_NOISEECG4_5000_16900_17100,NOISEECG4,,lof,tuned,"{'w': 50, 'k': 30}",0.8434,0.64944,0.9981,0.92488,1.95,1.71,0.0,25000,1,0.00804,ok
ucr,096_UCR_Anomaly_NOISEECG4_5000_16900_17100,NOISEECG4,,knn,default,,0.92821,0.83014,0.99903,0.93828,0.5,nan,17.0,25000,1,0.00804,ok
ucr,096_UCR_Anomaly_NOISEECG4_5000_16900_17100,NOISEECG4,,knn,tuned,"{'w': 50, 'k': 3}",0.66279,0.49799,0.9981,0.7297,1.68,1.3,0.0,25000,1,0.00804,ok
ucr,096_UCR_Anomaly_NOISEECG4_5000_16900_17100,NOISEECG4,,ae,default,,0.86359,0.75163,0.99875,0.88587,3.13,nan,31.7,25000,1,0.00804,ok
ucr,096_UCR_Anomaly_NOISEECG4_5000_16900_17100,NOISEECG4,,ae,tuned,"{'w': 50, 'hidden': 64, 'latent': 8}",0.53421,0.39401,0.99812,0.59486,5.86,11.82,0.0,25000,1,0.00804,ok
ucr,098_UCR_Anomaly_NOISEInternalBleeding16_1200_4187_4199,NOISEInternalBleeding16,,iforest,default,,0.00782,0.01055,0.65325,0.02303,1.43,nan,17.0,6301,1,0.00206,ok
ucr,098_UCR_Anomaly_NOISEInternalBleeding16_1200_4187_4199,NOISEInternalBleeding16,,lof,default,,0.01028,0.01402,0.6798,0.02437,0.14,nan,17.0,6301,1,0.00206,ok
ucr,098_UCR_Anomaly_NOISEInternalBleeding16_1200_4187_4199,NOISEInternalBleeding16,,knn,default,,0.04506,0.06181,0.68533,0.10879,0.11,nan,17.0,6301,1,0.00206,ok
ucr,098_UCR_Anomaly_NOISEInternalBleeding16_1200_4187_4199,NOISEInternalBleeding16,,ae,default,,0.01431,0.02491,0.705,0.04952,0.77,nan,23.9,6301,1,0.00206,ok
ucr,100_UCR_Anomaly_NOISELab2Cmac011215EPG1_5000_17210_17260,NOISELab2Cmac011215EPG1,,iforest,default,,1.0,0.41541,0.99972,0.76842,2.59,nan,17.0,25001,1,0.00204,ok
ucr,100_UCR_Anomaly_NOISELab2Cmac011215EPG1_5000_17210_17260,NOISELab2Cmac011215EPG1,,iforest,tuned,"{'w': 50, 'n_estimators': 100}",0.99962,0.49455,0.99972,0.76842,2.46,6.67,0.0,25001,1,0.00204,ok
ucr,100_UCR_Anomaly_NOISELab2Cmac011215EPG1_5000_17210_17260,NOISELab2Cmac011215EPG1,,lof,default,,0.99259,0.46932,0.99972,0.76702,0.68,nan,17.0,25001,1,0.00204,ok
ucr,100_UCR_Anomaly_NOISELab2Cmac011215EPG1_5000_17210_17260,NOISELab2Cmac011215EPG1,,lof,tuned,"{'w': 50, 'k': 30}",0.99962,0.51145,0.99971,0.76842,1.98,1.68,0.0,25001,1,0.00204,ok
ucr,100_UCR_Anomaly_NOISELab2Cmac011215EPG1_5000_17210_17260,NOISELab2Cmac011215EPG1,,knn,default,,0.99316,0.49529,0.99972,0.76702,0.5,nan,17.0,25001,1,0.00204,ok
ucr,100_UCR_Anomaly_NOISELab2Cmac011215EPG1_5000_17210_17260,NOISELab2Cmac011215EPG1,,knn,tuned,"{'w': 50, 'k': 3}",0.99776,0.51257,0.9997,0.76842,2.1,1.35,0.0,25001,1,0.00204,ok
ucr,100_UCR_Anomaly_NOISELab2Cmac011215EPG1_5000_17210_17260,NOISELab2Cmac011215EPG1,,ae,default,,0.97118,0.53108,0.99968,0.76842,3.12,nan,31.7,25001,1,0.00204,ok
ucr,100_UCR_Anomaly_NOISELab2Cmac011215EPG1_5000_17210_17260,NOISELab2Cmac011215EPG1,,ae,tuned,"{'w': 50, 'hidden': 64, 'latent': 8}",0.98339,0.50976,0.99968,0.76842,5.86,11.68,0.0,25001,1,0.00204,ok
ucr,102_UCR_Anomaly_NOISEMesoplodonDensirostris_10000_19280_19440,NOISEMesoplodonDensirostris,,iforest,default,,0.02485,0.0298,0.69119,0.05111,1.93,nan,17.0,14667,1,0.01098,ok
ucr,102_UCR_Anomaly_NOISEMesoplodonDensirostris_10000_19280_19440,NOISEMesoplodonDensirostris,,iforest,tuned,"{'w': 100, 'n_estimators': 200}",0.02485,0.0298,0.69119,0.05111,2.77,7.82,0.0,14667,1,0.01098,ok
ucr,102_UCR_Anomaly_NOISEMesoplodonDensirostris_10000_19280_19440,NOISEMesoplodonDensirostris,,lof,default,,0.06916,0.08194,0.73679,0.1778,0.54,nan,17.0,14667,1,0.01098,ok
ucr,102_UCR_Anomaly_NOISEMesoplodonDensirostris_10000_19280_19440,NOISEMesoplodonDensirostris,,lof,tuned,"{'w': 50, 'k': 50}",0.26369,0.19943,0.81821,0.44772,1.87,2.84,0.0,14667,1,0.01098,ok
ucr,102_UCR_Anomaly_NOISEMesoplodonDensirostris_10000_19280_19440,NOISEMesoplodonDensirostris,,knn,default,,0.83502,0.6416,0.9973,0.93056,0.39,nan,17.0,14667,1,0.01098,ok
ucr,102_UCR_Anomaly_NOISEMesoplodonDensirostris_10000_19280_19440,NOISEMesoplodonDensirostris,,knn,tuned,"{'w': 100, 'k': 3}",0.84808,0.65653,0.9973,0.93232,1.0,1.96,0.0,14667,1,0.01098,ok
