detectors=['iforest', 'lof', 'knn', 'ae', 'chronos_small_resid', 'chronos_small_quantile', 'chronos_base_resid', 'chronos_base_quantile', 'timesfm_resid', 'timesfm_quantile', 'tirex_resid', 'tirex_quantile']
tiers=['default', 'tuned']
datasets=['nasa', 'smd', 'psm', 'ucr']
out=F:\CS\Paper\that\results\full_results.csv
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/143 [00:00<?, ?it/s]Loading weights:  45%|¨€¨€¨€¨€¨…     | 64/143 [00:00<00:00, 606.04it/s]Loading weights:  89%|¨€¨€¨€¨€¨€¨€¨€¨€¨ | 127/143 [00:00<00:00, 609.27it/s]Loading weights: 100%|¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€| 143/143 [00:00<00:00, 636.00it/s]
[ucr] 003_UCR_Anomaly_DISTORTED3sddb40_3 timesfm_resid            default  vus=0.0139 affil=0.68803 (13.7s)
[ucr] 003_UCR_Anomaly_DISTORTED3sddb40_3 timesfm_quantile         default  vus=0.00987 affil=0.66669 (13.7s)
[ucr] 003_UCR_Anomaly_DISTORTED3sddb40_3 tirex_resid              default  vus=0.01315 affil=0.6679 (15.6s)
[ucr] 003_UCR_Anomaly_DISTORTED3sddb40_3 tirex_quantile           default  vus=0.00968 affil=0.67069 (15.6s)
[ucr] 003_UCR_Anomaly_DISTORTED3sddb40_3 iforest                  default  vus=0.01371 affil=0.64669 (3.3s)
[ucr] 003_UCR_Anomaly_DISTORTED3sddb40_3 iforest                  tuned    vus=0.01461 affil=0.64582 (4.93s)
[ucr] 003_UCR_Anomaly_DISTORTED3sddb40_3 lof                      default  vus=0.02653 affil=0.6416 (2.47s)
[ucr] 003_UCR_Anomaly_DISTORTED3sddb40_3 lof                      tuned    vus=0.01659 affil=0.63698 (3.59s)
[ucr] 003_UCR_Anomaly_DISTORTED3sddb40_3 knn                      default  vus=0.03223 affil=0.62889 (1.91s)
[ucr] 003_UCR_Anomaly_DISTORTED3sddb40_3 knn                      tuned    vus=0.02047 affil=0.63217 (3.12s)
[ucr] 003_UCR_Anomaly_DISTORTED3sddb40_3 ae                       default  vus=0.04047 affil=0.65549 (12.44s)
[ucr] 003_UCR_Anomaly_DISTORTED3sddb40_3 ae                       tuned    vus=0.02646 affil=0.65447 (11.62s)
[ucr] 004_UCR_Anomaly_DISTORTEDBIDMC1_25 chronos_small_resid      default  vus=0.08515 affil=0.98942 (0.3s)
[ucr] 004_UCR_Anomaly_DISTORTEDBIDMC1_25 chronos_small_quantile   default  vus=0.064 affil=0.95077 (0.3s)
[ucr] 004_UCR_Anomaly_DISTORTEDBIDMC1_25 chronos_base_resid       default  vus=0.08265 affil=0.98942 (0.2s)
[ucr] 004_UCR_Anomaly_DISTORTEDBIDMC1_25 chronos_base_quantile    default  vus=0.04501 affil=0.72673 (0.2s)
[ucr] 004_UCR_Anomaly_DISTORTEDBIDMC1_25 timesfm_resid            default  vus=0.19349 affil=0.98931 (3.5s)
[ucr] 004_UCR_Anomaly_DISTORTEDBIDMC1_25 timesfm_quantile         default  vus=0.07721 affil=0.99433 (3.5s)
[ucr] 004_UCR_Anomaly_DISTORTEDBIDMC1_25 tirex_resid              default  vus=0.20708 affil=0.9892 (5.4s)
[ucr] 004_UCR_Anomaly_DISTORTEDBIDMC1_25 tirex_quantile           default  vus=0.09892 affil=0.99433 (5.4s)
[ucr] 004_UCR_Anomaly_DISTORTEDBIDMC1_25 iforest                  default  vus=0.50065 affil=0.9966 (1.36s)
[ucr] 004_UCR_Anomaly_DISTORTEDBIDMC1_25 lof                      default  vus=0.75152 affil=0.99821 (0.24s)
[ucr] 004_UCR_Anomaly_DISTORTEDBIDMC1_25 knn                      default  vus=0.74443 affil=0.99844 (0.15s)
[ucr] 004_UCR_Anomaly_DISTORTEDBIDMC1_25 ae                       default  vus=0.73317 affil=0.99816 (1.24s)
[ucr] 005_UCR_Anomaly_DISTORTEDCIMIS44Ai chronos_small_resid      default  vus=0.0044 affil=0.72356 (0.1s)
[ucr] 005_UCR_Anomaly_DISTORTEDCIMIS44Ai chronos_small_quantile   default  vus=0.00161 affil=0.6972 (0.1s)
[ucr] 005_UCR_Anomaly_DISTORTEDCIMIS44Ai chronos_base_resid       default  vus=0.00264 affil=0.71635 (0.4s)
[ucr] 005_UCR_Anomaly_DISTORTEDCIMIS44Ai chronos_base_quantile    default  vus=0.00161 affil=0.68247 (0.4s)
[ucr] 005_UCR_Anomaly_DISTORTEDCIMIS44Ai timesfm_resid            default  vus=0.00512 affil=0.74067 (2.4s)
[ucr] 005_UCR_Anomaly_DISTORTEDCIMIS44Ai timesfm_quantile         default  vus=0.00274 affil=0.80849 (2.4s)
[ucr] 005_UCR_Anomaly_DISTORTEDCIMIS44Ai tirex_resid              default  vus=0.00159 affil=0.81539 (5.5s)
[ucr] 005_UCR_Anomaly_DISTORTEDCIMIS44Ai tirex_quantile           default  vus=0.00132 affil=0.66667 (5.5s)
[ucr] 005_UCR_Anomaly_DISTORTEDCIMIS44Ai iforest                  default  vus=0.00129 affil=0.81337 (1.11s)
[ucr] 005_UCR_Anomaly_DISTORTEDCIMIS44Ai iforest                  tuned    vus=0.00176 affil=0.81373 (1.47s)
[ucr] 005_UCR_Anomaly_DISTORTEDCIMIS44Ai lof                      default  vus=0.00231 affil=0.81523 (0.25s)
[ucr] 005_UCR_Anomaly_DISTORTEDCIMIS44Ai lof                      tuned    vus=0.00435 affil=0.80786 (0.74s)
[ucr] 005_UCR_Anomaly_DISTORTEDCIMIS44Ai knn                      default  vus=0.0049 affil=0.82359 (0.11s)
[ucr] 005_UCR_Anomaly_DISTORTEDCIMIS44Ai knn                      tuned    vus=0.00493 affil=0.81727 (0.37s)
[ucr] 005_UCR_Anomaly_DISTORTEDCIMIS44Ai ae                       default  vus=0.15438 affil=0.99722 (1.61s)
[ucr] 005_UCR_Anomaly_DISTORTEDCIMIS44Ai ae                       tuned    vus=0.01433 affil=0.85547 (1.89s)
[ucr] 006_UCR_Anomaly_DISTORTEDCIMIS44Ai chronos_small_resid      default  vus=0.09228 affil=0.80997 (0.2s)
[ucr] 006_UCR_Anomaly_DISTORTEDCIMIS44Ai chronos_small_quantile   default  vus=0.16941 affil=0.99883 (0.2s)
[ucr] 006_UCR_Anomaly_DISTORTEDCIMIS44Ai chronos_base_resid       default  vus=0.08808 affil=0.786 (0.3s)
[ucr] 006_UCR_Anomaly_DISTORTEDCIMIS44Ai chronos_base_quantile    default  vus=0.1859 affil=0.99883 (0.3s)
[ucr] 006_UCR_Anomaly_DISTORTEDCIMIS44Ai timesfm_resid            default  vus=0.16195 affil=0.92259 (2.6s)
[ucr] 006_UCR_Anomaly_DISTORTEDCIMIS44Ai timesfm_quantile         default  vus=0.19125 affil=0.99894 (2.6s)
[ucr] 006_UCR_Anomaly_DISTORTEDCIMIS44Ai tirex_resid              default  vus=0.08698 affil=0.88641 (5.4s)
[ucr] 006_UCR_Anomaly_DISTORTEDCIMIS44Ai tirex_quantile           default  vus=0.03265 affil=0.70229 (5.4s)
[ucr] 006_UCR_Anomaly_DISTORTEDCIMIS44Ai iforest                  default  vus=0.02115 affil=0.76813 (0.88s)
[ucr] 006_UCR_Anomaly_DISTORTEDCIMIS44Ai iforest                  tuned    vus=0.02294 affil=0.77795 (1.18s)
[ucr] 006_UCR_Anomaly_DISTORTEDCIMIS44Ai lof                      default  vus=0.04788 affil=0.83676 (0.24s)
[ucr] 006_UCR_Anomaly_DISTORTEDCIMIS44Ai lof                      tuned    vus=0.04788 affil=0.83676 (0.61s)
[ucr] 006_UCR_Anomaly_DISTORTEDCIMIS44Ai knn                      default  vus=0.42329 affil=0.99894 (0.11s)
[ucr] 006_UCR_Anomaly_DISTORTEDCIMIS44Ai knn                      tuned    vus=0.88688 affil=0.99884 (0.49s)
[ucr] 006_UCR_Anomaly_DISTORTEDCIMIS44Ai ae                       default  vus=0.89454 affil=0.99884 (1.54s)
[ucr] 006_UCR_Anomaly_DISTORTEDCIMIS44Ai ae                       tuned    vus=0.89952 affil=0.99884 (1.96s)
[ucr] 007_UCR_Anomaly_DISTORTEDCIMIS44Ai chronos_small_resid      default  vus=0.09096 affil=0.70163 (0.2s)
[ucr] 007_UCR_Anomaly_DISTORTEDCIMIS44Ai chronos_small_quantile   default  vus=0.15639 affil=0.99884 (0.2s)
[ucr] 007_UCR_Anomaly_DISTORTEDCIMIS44Ai chronos_base_resid       default  vus=0.07573 affil=0.69364 (0.4s)
[ucr] 007_UCR_Anomaly_DISTORTEDCIMIS44Ai chronos_base_quantile    default  vus=0.15549 affil=0.99883 (0.4s)
[ucr] 007_UCR_Anomaly_DISTORTEDCIMIS44Ai timesfm_resid            default  vus=0.07286 affil=0.88306 (2.3s)
[ucr] 007_UCR_Anomaly_DISTORTEDCIMIS44Ai timesfm_quantile         default  vus=0.12014 affil=0.99884 (2.3s)
[ucr] 007_UCR_Anomaly_DISTORTEDCIMIS44Ai tirex_resid              default  vus=0.05902 affil=0.68256 (5.8s)
[ucr] 007_UCR_Anomaly_DISTORTEDCIMIS44Ai tirex_quantile           default  vus=0.05253 affil=0.72957 (5.8s)
[ucr] 007_UCR_Anomaly_DISTORTEDCIMIS44Ai iforest                  default  vus=0.00755 affil=0.64116 (1.22s)
