dataset,series,detector,custom_vus_pr,reference_vus_pr
ucr,022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4_4000_6527_6645,iforest,0.3337860835725235,0.5015618730715122
ucr,022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4_4000_6527_6645,timesfm_resid,0.10718598839290902,0.14549173159175055
ucr,022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4_4000_6527_6645,tirex_resid,0.1904487705013122,0.27460185531756504
ucr,022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4_4000_6527_6645,chronos_base_resid,0.041069922810106366,0.04572673764275284
ucr,022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4_4000_6527_6645,chronos_small_resid,0.03794857858330403,0.0409622622062795
ucr,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854,knn,0.7531626658763215,0.9657110141862332
ucr,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854,lof,0.2342629380681459,0.31469612149256593
ucr,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854,ae,0.05144235891259497,0.053486796583126196
ucr,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854,iforest,0.09330331350776744,0.11087281414812485
ucr,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854,timesfm_resid,0.07180442906988055,0.07621173304797302
ucr,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854,tirex_resid,0.06171312631324098,0.0641860356412488
ucr,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854,chronos_base_resid,0.04763648493961883,0.04553004970552261
ucr,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854,chronos_small_resid,0.053163239794370334,0.051734010650831094
ucr,031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919,knn,0.7017549917954693,0.8869843382087892
ucr,031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919,lof,0.1839712383139025,0.17919710412394352
ucr,031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919,ae,0.6760171619095199,0.8995015062844572
ucr,031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919,iforest,0.1063923246774664,0.11477838437976949
ucr,031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919,timesfm_resid,0.14362676669460311,0.15369757725863717
ucr,031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919,tirex_resid,0.10290779877611642,0.10982179900034758
ucr,031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919,chronos_base_resid,0.059389523619534465,0.05782152354115982
ucr,031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919,chronos_small_resid,0.055922390771855505,0.054704321573906124
ucr,035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,knn,0.12336214751661617,0.14229958394952372
ucr,035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,lof,0.03497865712164805,0.03578022753422203
