device,detector,dataset,series,n_test,n_channels,runtime_s,cold_s,points_per_s,peak_mb,rss_mb,other_py,status
cpu,timesfm,ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,44795,1,29.881,35.456,1499.1,0.0,2175.4,3,ok
cpu,tirex,ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,44795,1,324.187,298.316,138.2,0.0,1407.0,3,ok
cpu,iforest,ucr,250_UCR_Anomaly_weallwalk_2951_7290_7296,7517,1,0.288,0.285,26055.6,0.0,529.9,3,ok
cpu,lof,ucr,250_UCR_Anomaly_weallwalk_2951_7290_7296,7517,1,0.082,1.672,91131.5,0.0,550.8,3,ok
cpu,knn,ucr,250_UCR_Anomaly_weallwalk_2951_7290_7296,7517,1,0.05,1.686,150970.8,0.0,547.3,3,ok
cpu,ae,ucr,250_UCR_Anomaly_weallwalk_2951_7290_7296,7517,1,0.369,1.54,20358.4,0.0,626.6,3,ok
cpu,chronos_small,ucr,250_UCR_Anomaly_weallwalk_2951_7290_7296,7517,1,3.634,10.863,2068.4,0.0,876.5,3,ok
cpu,chronos_base,ucr,250_UCR_Anomaly_weallwalk_2951_7290_7296,7517,1,11.201,18.27,671.1,0.0,1289.0,3,ok
cpu,tirex,ucr,250_UCR_Anomaly_weallwalk_2951_7290_7296,7517,1,53.702,62.47,140.0,0.0,1018.4,3,ok
cpu,iforest,smd,machine-1-1,28479,38,1.508,1.364,18885.0,0.0,552.1,3,ok
cpu,chronos_small,smd,machine-1-1,28479,38,151.077,159.539,188.5,0.0,957.8,3,ok
cpu,chronos_base,smd,machine-1-1,28479,38,553.541,565.057,51.4,0.0,1469.9,3,ok
cpu,timesfm,smd,machine-1-1,28479,38,256.228,257.577,111.1,0.0,2188.9,3,ok
cpu,iforest,smd,machine-1-2,23694,38,1.102,1.076,21492.3,0.0,549.2,3,ok
cpu,lof,smd,machine-1-2,23694,38,2.102,3.816,11269.9,0.0,560.0,3,ok
cpu,knn,smd,machine-1-2,23694,38,1.327,2.906,17858.2,0.0,560.9,3,ok
cpu,ae,smd,machine-1-2,23694,38,4.812,5.55,4924.1,0.0,1214.0,3,ok
cuda,knn,smd,machine-1-2,23694,38,1.316,2.915,18000.2,0.0,576.5,3,ok
cuda,ae,smd,machine-1-2,23694,38,2.102,3.262,11271.4,583.2,1422.2,3,ok
cpu,timesfm,ucr,250_UCR_Anomaly_weallwalk_2951_7290_7296,7517,1,4.79,9.538,1569.3,0.0,2169.9,3,ok
cpu,lof,smd,machine-1-1,28479,38,3.232,4.761,8811.3,0.0,562.8,3,ok
cpu,knn,smd,machine-1-1,28479,38,2.033,3.52,14008.4,0.0,563.6,3,ok
cpu,ae,smd,machine-1-1,28479,38,5.328,6.537,5345.6,0.0,1304.8,3,ok
cpu,tirex,smd,machine-1-1,28479,38,2211.461,2164.758,12.9,0.0,1421.8,3,ok
cpu,chronos_small,smd,machine-1-2,23694,38,121.524,128.234,195.0,0.0,880.1,3,ok
cpu,chronos_base,smd,machine-1-2,23694,38,441.281,447.756,53.7,0.0,1309.8,3,ok
cpu,timesfm,smd,machine-1-2,23694,38,198.938,203.15,119.1,0.0,2196.2,3,ok
cpu,tirex,smd,machine-1-2,23694,38,1803.431,1811.413,13.1,0.0,1428.6,3,ok
cpu,iforest,nasa,P-1,8505,25,0.404,0.412,21054.5,0.0,532.7,3,ok
cpu,lof,nasa,P-1,8505,25,0.175,1.751,48717.8,0.0,554.1,3,ok
cpu,knn,nasa,P-1,8505,25,0.112,1.659,75924.4,0.0,546.9,3,ok
cpu,ae,nasa,P-1,8505,25,0.736,1.648,11560.7,0.0,808.0,3,ok
cpu,chronos_small,nasa,P-1,8505,25,42.547,47.927,199.9,0.0,961.7,3,ok
cpu,chronos_base,nasa,P-1,8505,25,151.1,156.209,56.3,0.0,1220.6,3,ok
cpu,timesfm,nasa,P-1,8505,25,71.097,74.823,119.6,0.0,2178.7,3,ok
cpu,tirex,nasa,P-1,8505,25,646.24,654.183,13.2,0.0,1415.2,3,ok
cpu,iforest,nasa,S-1,7331,25,0.374,0.374,19585.3,0.0,533.7,3,ok
cpu,lof,nasa,S-1,7331,25,0.175,1.807,41819.0,0.0,554.7,3,ok
cpu,knn,nasa,S-1,7331,25,0.111,1.656,65862.0,0.0,550.5,3,ok
cpu,ae,nasa,S-1,7331,25,0.772,1.7,9497.7,0.0,800.1,3,ok
cpu,chronos_small,nasa,S-1,7331,25,36.77,42.412,199.4,0.0,858.1,3,ok
cpu,chronos_base,nasa,S-1,7331,25,136.423,141.359,53.7,0.0,1284.5,3,ok
cpu,timesfm,nasa,S-1,7331,25,62.217,66.419,117.8,0.0,2177.4,3,ok
cpu,tirex,nasa,S-1,7331,25,560.609,570.296,13.1,0.0,1409.6,3,ok
