dataset,series,domain,anomaly_kind,detector,tier,config,auc_pr,vus_pr,affil_f1,event_f1,runtime_s,tune_s,peak_mb,n_test,n_channels,anomaly_frac,status
nasa,E-8,smap,point,iforest,default,,0.19943,0.18878,0.96937,0.36368,0.58,,0.0,8532,25,0.07302,ok
nasa,E-8,smap,point,iforest,tuned,"{'w': 50, 'n_estimators': 200}",0.11311,0.12136,0.8451,0.20492,2.12,5.96,0.0,8532,25,0.07302,ok
nasa,E-8,smap,point,lof,default,,0.20882,0.20503,0.96938,0.3621,1.46,,0.0,8532,25,0.07302,ok
nasa,E-8,smap,point,lof,tuned,"{'w': 200, 'k': 10}",0.23246,0.22945,0.9694,0.37308,0.85,2.41,0.0,8532,25,0.07302,ok
nasa,E-8,smap,point,knn,default,,0.21047,0.20179,0.9698,0.37162,0.58,,0.0,8532,25,0.07302,ok
nasa,E-8,smap,point,knn,tuned,"{'w': 50, 'k': 3}",0.14164,0.15337,0.94013,0.25208,1.44,1.58,0.0,8532,25,0.07302,ok
nasa,E-8,smap,point,ae,default,,0.23539,0.22772,0.97987,0.45188,7.33,,196.5,8532,25,0.07302,ok
nasa,E-8,smap,point,ae,tuned,"{'w': 50, 'hidden': 32, 'latent': 16}",0.21157,0.20437,0.97987,0.31535,3.24,7.34,0.0,8532,25,0.07302,ok
nasa,E-10,smap,contextual,iforest,default,,0.04735,0.06995,0.79772,0.08262,1.84,,17.0,8505,25,0.03786,ok
nasa,E-10,smap,contextual,iforest,tuned,"{'w': 50, 'n_estimators': 100}",0.06638,0.07809,0.8305,0.20222,1.47,6.17,0.0,8505,25,0.03786,ok
nasa,E-10,smap,contextual,lof,default,,0.85758,0.70029,0.81346,0.66667,0.89,,17.0,8505,25,0.03786,ok
nasa,E-10,smap,contextual,lof,tuned,"{'w': 200, 'k': 10}",0.84928,0.74303,0.83019,0.66667,0.95,2.29,0.0,8505,25,0.03786,ok
nasa,E-10,smap,contextual,knn,default,,0.88795,0.70438,0.82,0.69854,0.58,,17.0,8505,25,0.03786,ok
nasa,E-10,smap,contextual,knn,tuned,"{'w': 50, 'k': 3}",0.91257,0.66663,0.99302,0.8896,1.5,1.54,0.0,8505,25,0.03786,ok
nasa,E-10,smap,contextual,ae,default,,0.19869,0.20624,0.79116,0.26494,2.05,,196.2,8505,25,0.03786,ok
nasa,E-10,smap,contextual,ae,tuned,"{'w': 200, 'hidden': 32, 'latent': 16}",0.25809,0.26605,0.79471,0.34296,2.8,7.33,0.0,8505,25,0.03786,ok
nasa,E-12,smap,contextual,iforest,default,,0.03863,0.05984,0.73208,0.04062,1.82,,17.0,8512,25,0.06849,ok
nasa,E-12,smap,contextual,iforest,tuned,"{'w': 50, 'n_estimators': 100}",0.05069,0.06916,0.77831,0.22799,1.44,6.13,0.0,8512,25,0.06849,ok
nasa,E-12,smap,contextual,lof,default,,0.03943,0.06244,0.73244,0.04279,0.92,,17.0,8512,25,0.06849,ok
nasa,E-12,smap,contextual,lof,tuned,"{'w': 200, 'k': 10}",0.04028,0.06082,0.71538,0.0,0.95,2.45,0.0,8512,25,0.06849,ok
nasa,E-12,smap,contextual,knn,default,,0.05768,0.08154,0.72791,0.2062,0.54,,17.0,8512,25,0.06849,ok
nasa,E-12,smap,contextual,knn,tuned,"{'w': 50, 'k': 3}",0.12768,0.12848,0.84893,0.42402,1.42,1.55,0.0,8512,25,0.06849,ok
nasa,E-12,smap,contextual,ae,default,,0.10461,0.14721,0.75916,0.16667,2.03,,196.3,8512,25,0.06849,ok
nasa,E-12,smap,contextual,ae,tuned,"{'w': 200, 'hidden': 32, 'latent': 16}",0.12891,0.18196,0.76276,0.22909,2.76,7.45,0.0,8512,25,0.06849,ok
nasa,A-1,smap,point,iforest,default,,0.00589,0.00992,0.73051,0.0,1.8,,17.0,8640,25,0.00984,ok
nasa,A-1,smap,point,iforest,tuned,"{'w': 50, 'n_estimators': 100}",0.00595,0.01003,0.66963,0.0,1.41,6.05,0.0,8640,25,0.00984,ok
nasa,A-1,smap,point,lof,default,,0.00752,0.01235,0.62934,0.0,1.0,,17.0,8640,25,0.00984,ok
nasa,A-1,smap,point,lof,tuned,"{'w': 200, 'k': 10}",0.0104,0.01582,0.63527,0.0,1.02,2.35,0.0,8640,25,0.00984,ok
nasa,A-1,smap,point,knn,default,,0.0096,0.01474,0.71965,0.0,0.6,,17.0,8640,25,0.00984,ok
nasa,A-1,smap,point,knn,tuned,"{'w': 50, 'k': 3}",0.0137,0.01819,0.75947,0.01943,1.42,1.58,0.0,8640,25,0.00984,ok
nasa,A-1,smap,point,ae,default,,0.50982,0.50689,0.84404,0.73252,2.1,,198.1,8640,25,0.00984,ok
nasa,A-1,smap,point,ae,tuned,"{'w': 50, 'hidden': 32, 'latent': 16}",0.68785,0.50604,0.99737,0.78567,3.35,7.56,0.0,8640,25,0.00984,ok
nasa,P-2,smap,point,iforest,default,,0.29852,0.3294,0.93873,0.25,1.8,,17.0,8209,25,0.14935,ok
nasa,P-2,smap,point,iforest,tuned,"{'w': 50, 'n_estimators': 200}",0.24428,0.28173,0.93684,0.25,2.08,6.02,0.0,8209,25,0.14935,ok
nasa,P-2,smap,point,lof,default,,0.22043,0.24776,0.93975,0.25,0.84,,17.0,8209,25,0.14935,ok
nasa,P-2,smap,point,lof,tuned,"{'w': 200, 'k': 10}",0.22712,0.25329,0.93476,0.25,1.03,2.49,0.0,8209,25,0.14935,ok
nasa,P-2,smap,point,knn,default,,0.21231,0.24348,0.93931,0.25,0.59,,17.0,8209,25,0.14935,ok
nasa,P-2,smap,point,knn,tuned,"{'w': 200, 'k': 1}",0.23115,0.25853,0.93148,0.25,0.73,1.56,0.0,8209,25,0.14935,ok
nasa,P-2,smap,point,ae,default,,0.35977,0.36183,0.94591,0.45981,1.98,,193.7,8209,25,0.14935,ok
nasa,P-2,smap,point,ae,tuned,"{'w': 50, 'hidden': 32, 'latent': 16}",0.519,0.52013,0.94158,0.85657,3.28,7.43,0.0,8209,25,0.14935,ok
nasa,D-2,smap,point,iforest,default,,0.44301,0.44989,0.75833,0.40005,1.85,,17.0,8595,25,0.49075,ok
nasa,D-2,smap,point,iforest,tuned,"{'w': 50, 'n_estimators': 100}",0.47177,0.48051,0.86354,0.40065,1.44,6.1,0.0,8595,25,0.49075,ok
nasa,D-2,smap,point,lof,default,,0.97494,0.97205,0.99602,0.75,0.99,,17.0,8595,25,0.49075,ok
nasa,D-2,smap,point,lof,tuned,"{'w': 200, 'k': 10}",0.98113,0.97836,0.99416,0.75,1.12,2.32,0.0,8595,25,0.49075,ok
nasa,D-2,smap,point,knn,default,,0.97638,0.97375,0.99565,0.75,0.66,,17.0,8595,25,0.49075,ok
nasa,D-2,smap,point,knn,tuned,"{'w': 50, 'k': 3}",0.97302,0.96715,0.99719,0.75,1.46,1.56,0.0,8595,25,0.49075,ok
nasa,D-2,smap,point,ae,default,,0.97525,0.97446,0.98068,0.5,2.04,,198.1,8595,25,0.49075,ok
nasa,D-2,smap,point,ae,tuned,"{'w': 50, 'hidden': 32, 'latent': 16}",0.97206,0.96801,0.97831,0.25,3.33,7.29,0.0,8595,25,0.49075,ok
nasa,D-4,smap,point,iforest,default,,0.58122,0.58494,0.93843,0.42839,1.92,,17.0,8473,25,0.38334,ok
nasa,D-4,smap,point,iforest,tuned,"{'w': 50, 'n_estimators': 100}",0.5055,0.50669,0.8982,0.43177,1.31,5.72,0.0,8473,25,0.38334,ok
nasa,D-4,smap,point,lof,default,,0.32324,0.3267,0.6504,0.20791,0.76,,17.0,8473,25,0.38334,ok
nasa,D-4,smap,point,lof,tuned,"{'w': 100, 'k': 30}",0.32627,0.33007,0.65919,0.20732,1.11,2.15,0.0,8473,25,0.38334,ok
nasa,D-4,smap,point,knn,default,,0.32649,0.33036,0.68368,0.22401,0.76,,17.0,8473,25,0.38334,ok
nasa,D-4,smap,point,knn,tuned,"{'w': 50, 'k': 5}",0.35697,0.36108,0.72694,0.2869,1.62,1.61,0.0,8473,25,0.38334,ok
nasa,D-4,smap,point,ae,default,,0.34795,0.3518,0.68639,0.25077,2.17,,195.8,8473,25,0.38334,ok
nasa,D-4,smap,point,ae,tuned,"{'w': 200, 'hidden': 32, 'latent': 16}",0.30395,0.30796,0.65496,0.21204,2.84,7.35,0.0,8473,25,0.38334,ok
nasa,A-3,smap,contextual,iforest,default,,0.01398,0.02281,0.70749,0.0,2.09,,17.0,8205,25,0.02267,ok
nasa,A-3,smap,contextual,iforest,tuned,"{'w': 50, 'n_estimators': 100}",0.01436,0.02281,0.66039,0.0,1.28,6.03,0.0,8205,25,0.02267,ok
nasa,A-3,smap,contextual,lof,default,,0.01329,0.02146,0.66013,0.0,0.76,,17.0,8205,25,0.02267,ok
nasa,A-3,smap,contextual,lof,tuned,"{'w': 100, 'k': 30}",0.01312,0.0213,0.64333,0.0,1.19,2.23,0.0,8205,25,0.02267,ok
nasa,A-3,smap,contextual,knn,default,,0.01252,0.02043,0.66831,0.0,0.57,,17.0,8205,25,0.02267,ok
nasa,A-3,smap,contextual,knn,tuned,"{'w': 50, 'k': 5}",0.01368,0.02217,0.66472,0.0,1.38,1.52,0.0,8205,25,0.02267,ok
nasa,A-3,smap,contextual,ae,default,,0.0141,0.03154,0.95119,0.0,2.04,,193.4,8205,25,0.02267,ok
nasa,A-3,smap,contextual,ae,tuned,"{'w': 50, 'hidden': 64, 'latent': 8}",0.01376,0.02474,0.69345,0.0,3.4,7.38,0.0,8205,25,0.02267,ok
nasa,G-1,smap,contextual,iforest,default,,0.00828,0.01329,0.59978,0.0,1.99,,17.0,8469,25,0.01429,ok
nasa,G-1,smap,contextual,iforest,tuned,"{'w': 50, 'n_estimators': 100}",0.00975,0.01383,0.60154,0.0,1.3,6.44,0.0,8469,25,0.01429,ok
nasa,G-1,smap,contextual,lof,default,,0.00941,0.01432,0.64768,0.0,0.78,,17.0,8469,25,0.01429,ok
nasa,G-1,smap,contextual,lof,tuned,"{'w': 100, 'k': 30}",0.00948,0.01443,0.63933,0.0,1.13,2.17,0.0,8469,25,0.01429,ok
nasa,G-1,smap,contextual,knn,default,,0.00935,0.01448,0.64657,0.0,0.54,,17.0,8469,25,0.01429,ok
nasa,G-1,smap,contextual,knn,tuned,"{'w': 50, 'k': 5}",0.01039,0.01449,0.65176,0.0,1.45,1.63,0.0,8469,25,0.01429,ok
nasa,G-1,smap,contextual,ae,default,,0.00841,0.01381,0.68554,0.0,2.14,,195.8,8469,25,0.01429,ok
nasa,G-1,smap,contextual,ae,tuned,"{'w': 200, 'hidden': 32, 'latent': 16}",0.00924,0.01508,0.65796,0.0,2.94,8.35,0.0,8469,25,0.01429,ok
nasa,D-5,smap,point,iforest,default,,0.06978,0.08824,0.86854,0.16925,1.84,,17.0,7628,25,0.00669,ok
nasa,D-5,smap,point,lof,default,,0.04196,0.05917,0.86272,0.10164,0.72,,17.0,7628,25,0.00669,ok
nasa,D-5,smap,point,knn,default,,0.03248,0.04782,0.8578,0.0817,0.71,,17.0,7628,25,0.00669,ok
