dataset,series,domain,detector,auc_pr,vus_pr,event_f1,runtime_s,n_test,anomaly_frac,status
ucr,199_UCR_Anomaly_tiltAPB3_40000_114000_114370,tiltAPB3,chronos_bolt_base,0.00349,0.00418,0.02893,3.03,89489,0.00415,ok
ucr,205_UCR_Anomaly_CHARISfive_9812_28995_29085,CHARISfive,iforest,0.00153,0.00276,0.0,1.58,30058,0.00303,ok
ucr,205_UCR_Anomaly_CHARISfive_9812_28995_29085,CHARISfive,lof,0.00195,0.00507,0.00863,0.74,30058,0.00303,ok
ucr,205_UCR_Anomaly_CHARISfive_9812_28995_29085,CHARISfive,ae,0.00172,0.0043,0.0,2.61,30058,0.00303,ok
ucr,205_UCR_Anomaly_CHARISfive_9812_28995_29085,CHARISfive,chronos_bolt_small,0.00195,0.00773,0.00471,0.61,30058,0.00303,ok
ucr,205_UCR_Anomaly_CHARISfive_9812_28995_29085,CHARISfive,chronos_bolt_base,0.00214,0.00874,0.01069,1.17,30058,0.00303,ok
ucr,212_UCR_Anomaly_Italianpowerdemand_8913_29480_29504,Italianpowerdemand,iforest,0.00071,0.0027,0.0,1.28,21018,0.00119,ok
ucr,212_UCR_Anomaly_Italianpowerdemand_8913_29480_29504,Italianpowerdemand,lof,0.00075,0.00294,0.0,0.55,21018,0.00119,ok
ucr,212_UCR_Anomaly_Italianpowerdemand_8913_29480_29504,Italianpowerdemand,ae,0.00126,0.00433,0.0041,2.17,21018,0.00119,ok
ucr,212_UCR_Anomaly_Italianpowerdemand_8913_29480_29504,Italianpowerdemand,chronos_bolt_small,0.0088,0.00861,0.08676,0.6,21018,0.00119,ok
ucr,212_UCR_Anomaly_Italianpowerdemand_8913_29480_29504,Italianpowerdemand,chronos_bolt_base,0.00846,0.00811,0.09235,0.93,21018,0.00119,ok
ucr,218_UCR_Anomaly_STAFFIIIDatabase_41117_210720_211370,STAFFIIIDatabase,iforest,0.00672,0.00683,0.14753,7.34,258823,0.00252,ok
ucr,218_UCR_Anomaly_STAFFIIIDatabase_41117_210720_211370,STAFFIIIDatabase,lof,0.05357,0.05429,0.29059,10.34,258823,0.00252,ok
ucr,218_UCR_Anomaly_STAFFIIIDatabase_41117_210720_211370,STAFFIIIDatabase,ae,0.24715,0.22537,0.28127,10.07,258823,0.00252,ok
ucr,218_UCR_Anomaly_STAFFIIIDatabase_41117_210720_211370,STAFFIIIDatabase,chronos_bolt_small,0.0032,0.00335,0.13745,4.13,258823,0.00252,ok
ucr,218_UCR_Anomaly_STAFFIIIDatabase_41117_210720_211370,STAFFIIIDatabase,chronos_bolt_base,0.00276,0.00296,0.1324,7.49,258823,0.00252,ok
ucr,224_UCR_Anomaly_mit14046longtermecg_76123_191200_191700,mit14046longtermecg,iforest,0.00263,0.00314,0.01054,4.28,123630,0.00405,ok
ucr,224_UCR_Anomaly_mit14046longtermecg_76123_191200_191700,mit14046longtermecg,lof,0.37037,0.33103,0.45059,9.94,123630,0.00405,ok
ucr,224_UCR_Anomaly_mit14046longtermecg_76123_191200_191700,mit14046longtermecg,ae,0.01543,0.01475,0.13848,16.43,123630,0.00405,ok
ucr,224_UCR_Anomaly_mit14046longtermecg_76123_191200_191700,mit14046longtermecg,chronos_bolt_small,0.00354,0.00401,0.11862,2.46,123630,0.00405,ok
ucr,224_UCR_Anomaly_mit14046longtermecg_76123_191200_191700,mit14046longtermecg,chronos_bolt_base,0.00349,0.00397,0.16064,3.95,123630,0.00405,ok
ucr,231_UCR_Anomaly_mit14134longtermecg_8763_47530_47790,mit14134longtermecg,iforest,0.00357,0.00668,0.02247,2.6,50237,0.0052,ok
ucr,231_UCR_Anomaly_mit14134longtermecg_8763_47530_47790,mit14134longtermecg,lof,0.01465,0.02469,0.12509,0.89,50237,0.0052,ok
ucr,231_UCR_Anomaly_mit14134longtermecg_8763_47530_47790,mit14134longtermecg,ae,0.00272,0.00411,0.00786,2.36,50237,0.0052,ok
ucr,231_UCR_Anomaly_mit14134longtermecg_8763_47530_47790,mit14134longtermecg,chronos_bolt_small,0.00446,0.0061,0.0945,0.81,50237,0.0052,ok
ucr,231_UCR_Anomaly_mit14134longtermecg_8763_47530_47790,mit14134longtermecg,chronos_bolt_base,0.00471,0.00655,0.10164,1.65,50237,0.0052,ok
ucr,237_UCR_Anomaly_mit14157longtermecg_19313_89560_90370,mit14157longtermecg,iforest,0.05658,0.05669,0.39567,2.96,77687,0.01044,ok
ucr,237_UCR_Anomaly_mit14157longtermecg_19313_89560_90370,mit14157longtermecg,lof,0.1526,0.14839,0.50855,1.98,77687,0.01044,ok
ucr,237_UCR_Anomaly_mit14157longtermecg_19313_89560_90370,mit14157longtermecg,ae,0.10553,0.10025,0.42723,4.9,77687,0.01044,ok
ucr,237_UCR_Anomaly_mit14157longtermecg_19313_89560_90370,mit14157longtermecg,chronos_bolt_small,0.01193,0.01287,0.21462,1.69,77687,0.01044,ok
ucr,237_UCR_Anomaly_mit14157longtermecg_19313_89560_90370,mit14157longtermecg,chronos_bolt_base,0.01483,0.01574,0.25926,2.36,77687,0.01044,ok
ucr,244_UCR_Anomaly_tilt12754table_100013_104630_104890,tilt12754table,iforest,0.00153,0.0016,0.02041,6.13,200249,0.0013,ok
ucr,244_UCR_Anomaly_tilt12754table_100013_104630_104890,tilt12754table,lof,0.00806,0.00868,0.04188,18.81,200249,0.0013,ok
ucr,244_UCR_Anomaly_tilt12754table_100013_104630_104890,tilt12754table,ae,0.01056,0.00903,0.08355,21.05,200249,0.0013,ok
ucr,244_UCR_Anomaly_tilt12754table_100013_104630_104890,tilt12754table,chronos_bolt_small,0.00244,0.00265,0.06239,3.3,200249,0.0013,ok
ucr,244_UCR_Anomaly_tilt12754table_100013_104630_104890,tilt12754table,chronos_bolt_base,0.00291,0.0032,0.06512,6.04,200249,0.0013,ok
ucr,250_UCR_Anomaly_weallwalk_2951_7290_7296,weallwalk,iforest,0.05549,0.37255,0.21034,0.79,7517,0.00093,ok
ucr,250_UCR_Anomaly_weallwalk_2951_7290_7296,weallwalk,lof,0.02181,0.12021,0.06491,0.2,7517,0.00093,ok
ucr,250_UCR_Anomaly_weallwalk_2951_7290_7296,weallwalk,ae,0.00321,0.0303,0.01156,0.75,7517,0.00093,ok
ucr,250_UCR_Anomaly_weallwalk_2951_7290_7296,weallwalk,chronos_bolt_small,0.00383,0.01671,0.02736,0.14,7517,0.00093,ok
ucr,250_UCR_Anomaly_weallwalk_2951_7290_7296,weallwalk,chronos_bolt_base,0.00428,0.01688,0.0351,0.34,7517,0.00093,ok
smd,machine-1-1,server,iforest,0.42613,0.42307,0.47229,3.14,28479,0.0946,ok
smd,machine-1-1,server,lof,0.57624,0.62873,0.60547,19.18,28479,0.0946,ok
smd,machine-1-1,server,ae,0.55444,0.61664,0.7191,12.86,28479,0.0946,ok
smd,machine-1-1,server,chronos_bolt_small,0.1957,0.22584,0.37217,25.3,28479,0.0946,ok
smd,machine-1-1,server,chronos_bolt_base,0.19917,0.2271,0.37863,22.86,28479,0.0946,ok
smd,machine-1-6,server,iforest,0.61801,0.594,0.26756,3.09,23689,0.15653,ok
smd,machine-1-6,server,lof,0.16736,0.30177,0.39591,13.04,23689,0.15653,ok
smd,machine-1-6,server,ae,0.52438,0.60667,0.43381,7.37,23689,0.15653,ok
smd,machine-1-6,server,chronos_bolt_small,0.14809,0.23291,0.28865,6.56,23689,0.15653,ok
smd,machine-1-6,server,chronos_bolt_base,0.14662,0.2352,0.27991,16.14,23689,0.15653,ok
smd,machine-2-3,server,iforest,0.52454,0.36057,0.27596,2.77,23689,0.01136,ok
smd,machine-2-3,server,lof,0.01381,0.05149,0.10078,13.65,23689,0.01136,ok
smd,machine-2-3,server,ae,0.2274,0.46191,0.26531,7.76,23689,0.01136,ok
smd,machine-2-3,server,chronos_bolt_small,0.13027,0.12832,0.20458,6.85,23689,0.01136,ok
smd,machine-2-3,server,chronos_bolt_base,0.1228,0.12386,0.19825,15.71,23689,0.01136,ok
smd,machine-2-8,server,iforest,0.82439,0.64261,0.89254,2.49,23703,0.00679,ok
smd,machine-2-8,server,lof,0.99472,0.97473,0.95175,13.4,23703,0.00679,ok
smd,machine-2-8,server,ae,0.82086,0.8924,0.88783,6.9,23703,0.00679,ok
smd,machine-2-8,server,chronos_bolt_small,0.53308,0.53498,0.67594,6.64,23703,0.00679,ok
smd,machine-2-8,server,chronos_bolt_base,0.56694,0.61883,0.72828,16.26,23703,0.00679,ok
smd,machine-3-2,server,iforest,0.05716,0.109,0.16591,2.95,23703,0.04679,ok
smd,machine-3-2,server,lof,0.09597,0.23076,0.49681,13.54,23703,0.04679,ok
smd,machine-3-2,server,ae,0.09726,0.19201,0.29632,7.57,23703,0.04679,ok
smd,machine-3-2,server,chronos_bolt_small,0.03389,0.06129,0.12749,6.91,23703,0.04679,ok
smd,machine-3-2,server,chronos_bolt_base,0.0346,0.06127,0.13757,16.49,23703,0.04679,ok
smd,machine-3-7,server,iforest,0.38657,0.29146,0.24832,3.6,28705,0.01512,ok
smd,machine-3-7,server,lof,0.3633,0.29876,0.39389,18.25,28705,0.01512,ok
smd,machine-3-7,server,ae,0.69954,0.64018,0.46187,10.19,28705,0.01512,ok
smd,machine-3-7,server,chronos_bolt_small,0.17223,0.1336,0.16441,9.5,28705,0.01512,ok
smd,machine-3-7,server,chronos_bolt_base,0.14243,0.11743,0.14967,21.37,28705,0.01512,ok
