dataset,series,domain,detector,auc_pr,vus_pr,event_f1,runtime_s,n_test,anomaly_frac,status
ucr,033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,DISTORTEDInternalBleeding5,chronos_bolt_small,0.17087,0.16193,0.59246,0.06,3415,0.05007,ok
ucr,033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,DISTORTEDInternalBleeding5,chronos_bolt_base,0.1338,0.13098,0.49172,0.16,3415,0.05007,ok
ucr,039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3_5000_16390_16420,DISTORTEDLab2Cmac011215EPG3,iforest,0.94216,0.72915,0.39744,1.37,24950,0.00124,ok
ucr,039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3_5000_16390_16420,DISTORTEDLab2Cmac011215EPG3,lof,0.73244,0.64134,0.3949,0.42,24950,0.00124,ok
ucr,039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3_5000_16390_16420,DISTORTEDLab2Cmac011215EPG3,ae,0.67154,0.72671,0.39744,1.35,24950,0.00124,ok
ucr,039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3_5000_16390_16420,DISTORTEDLab2Cmac011215EPG3,chronos_bolt_small,0.00302,0.00528,0.03909,0.52,24950,0.00124,ok
ucr,039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3_5000_16390_16420,DISTORTEDLab2Cmac011215EPG3,chronos_bolt_base,0.00253,0.00664,0.03761,1.15,24950,0.00124,ok
ucr,046_UCR_Anomaly_DISTORTEDPowerDemand3_16000_23405_23477,DISTORTEDPowerDemand3,iforest,0.00315,0.00682,0.0,0.9,13931,0.00524,ok
ucr,046_UCR_Anomaly_DISTORTEDPowerDemand3_16000_23405_23477,DISTORTEDPowerDemand3,lof,0.01734,0.02028,0.08245,0.97,13931,0.00524,ok
ucr,046_UCR_Anomaly_DISTORTEDPowerDemand3_16000_23405_23477,DISTORTEDPowerDemand3,ae,0.06658,0.07513,0.26045,3.18,13931,0.00524,ok
ucr,046_UCR_Anomaly_DISTORTEDPowerDemand3_16000_23405_23477,DISTORTEDPowerDemand3,chronos_bolt_small,0.01293,0.02307,0.20546,0.39,13931,0.00524,ok
ucr,046_UCR_Anomaly_DISTORTEDPowerDemand3_16000_23405_23477,DISTORTEDPowerDemand3,chronos_bolt_base,0.01452,0.0243,0.22871,0.48,13931,0.00524,ok
ucr,052_UCR_Anomaly_DISTORTEDTkeepThirdMARS_3500_4711_4809,DISTORTEDTkeepThirdMARS,iforest,0.01972,0.04409,0.14526,0.66,7808,0.01268,ok
ucr,052_UCR_Anomaly_DISTORTEDTkeepThirdMARS_3500_4711_4809,DISTORTEDTkeepThirdMARS,lof,0.55224,0.80331,0.84526,0.2,7808,0.01268,ok
ucr,052_UCR_Anomaly_DISTORTEDTkeepThirdMARS_3500_4711_4809,DISTORTEDTkeepThirdMARS,ae,0.01862,0.04629,0.12278,0.86,7808,0.01268,ok
ucr,052_UCR_Anomaly_DISTORTEDTkeepThirdMARS_3500_4711_4809,DISTORTEDTkeepThirdMARS,chronos_bolt_small,0.04668,0.05261,0.34109,0.27,7808,0.01268,ok
ucr,052_UCR_Anomaly_DISTORTEDTkeepThirdMARS_3500_4711_4809,DISTORTEDTkeepThirdMARS,chronos_bolt_base,0.40678,0.29809,0.69147,0.26,7808,0.01268,ok
ucr,058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308,DISTORTEDapneaecg,iforest,0.00152,0.00307,0.0,1.64,28501,0.00242,ok
ucr,058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308,DISTORTEDapneaecg,lof,0.00631,0.00968,0.02427,0.65,28501,0.00242,ok
ucr,058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308,DISTORTEDapneaecg,ae,0.00269,0.00439,0.01245,2.33,28501,0.00242,ok
ucr,058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308,DISTORTEDapneaecg,chronos_bolt_small,0.00241,0.00411,0.04419,0.58,28501,0.00242,ok
ucr,058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308,DISTORTEDapneaecg,chronos_bolt_base,0.0024,0.00427,0.04371,0.85,28501,0.00242,ok
ucr,065_UCR_Anomaly_DISTORTEDinsectEPG1_3000_7000_7030,DISTORTEDinsectEPG1,iforest,0.00794,0.01897,0.03119,0.9,7001,0.00443,ok
ucr,065_UCR_Anomaly_DISTORTEDinsectEPG1_3000_7000_7030,DISTORTEDinsectEPG1,lof,0.00549,0.01626,0.02069,0.21,7001,0.00443,ok
ucr,065_UCR_Anomaly_DISTORTEDinsectEPG1_3000_7000_7030,DISTORTEDinsectEPG1,ae,0.00422,0.01256,0.00439,0.88,7001,0.00443,ok
ucr,065_UCR_Anomaly_DISTORTEDinsectEPG1_3000_7000_7030,DISTORTEDinsectEPG1,chronos_bolt_small,0.00432,0.01251,0.0246,0.2,7001,0.00443,ok
ucr,065_UCR_Anomaly_DISTORTEDinsectEPG1_3000_7000_7030,DISTORTEDinsectEPG1,chronos_bolt_base,0.00485,0.01318,0.03184,0.34,7001,0.00443,ok
ucr,071_UCR_Anomaly_DISTORTEDltstdbs30791AS_23000_52600_52800,DISTORTEDltstdbs30791AS,iforest,0.75658,0.59913,0.81109,1.65,32000,0.00628,ok
ucr,071_UCR_Anomaly_DISTORTEDltstdbs30791AS_23000_52600_52800,DISTORTEDltstdbs30791AS,lof,0.89877,0.83929,0.89264,1.08,32000,0.00628,ok
ucr,071_UCR_Anomaly_DISTORTEDltstdbs30791AS_23000_52600_52800,DISTORTEDltstdbs30791AS,ae,0.84487,0.8035,0.87365,5.14,32000,0.00628,ok
ucr,071_UCR_Anomaly_DISTORTEDltstdbs30791AS_23000_52600_52800,DISTORTEDltstdbs30791AS,chronos_bolt_small,0.24267,0.20597,0.44184,0.78,32000,0.00628,ok
ucr,071_UCR_Anomaly_DISTORTEDltstdbs30791AS_23000_52600_52800,DISTORTEDltstdbs30791AS,chronos_bolt_base,0.27538,0.22649,0.43448,1.14,32000,0.00628,ok
ucr,078_UCR_Anomaly_DISTORTEDresperation1_100000_110260_110412,DISTORTEDresperation1,iforest,0.00272,0.00316,0.01283,3.88,100000,0.00153,ok
ucr,078_UCR_Anomaly_DISTORTEDresperation1_100000_110260_110412,DISTORTEDresperation1,lof,0.83847,0.70625,0.46861,10.89,100000,0.00153,ok
ucr,078_UCR_Anomaly_DISTORTEDresperation1_100000_110260_110412,DISTORTEDresperation1,ae,0.00313,0.00642,0.0334,21.83,100000,0.00153,ok
ucr,078_UCR_Anomaly_DISTORTEDresperation1_100000_110260_110412,DISTORTEDresperation1,chronos_bolt_small,0.00113,0.00165,0.00529,2.12,100000,0.00153,ok
ucr,078_UCR_Anomaly_DISTORTEDresperation1_100000_110260_110412,DISTORTEDresperation1,chronos_bolt_base,0.00114,0.00166,0.00652,3.93,100000,0.00153,ok
ucr,084_UCR_Anomaly_DISTORTEDs20101mML2_12000_35774_35874,DISTORTEDs20101mML2,iforest,0.62601,0.64199,0.6925,1.5,28000,0.00361,ok
ucr,084_UCR_Anomaly_DISTORTEDs20101mML2_12000_35774_35874,DISTORTEDs20101mML2,lof,0.95654,0.93504,0.83817,0.86,28000,0.00361,ok
ucr,084_UCR_Anomaly_DISTORTEDs20101mML2_12000_35774_35874,DISTORTEDs20101mML2,ae,0.96566,0.95233,0.83817,2.93,28000,0.00361,ok
ucr,084_UCR_Anomaly_DISTORTEDs20101mML2_12000_35774_35874,DISTORTEDs20101mML2,chronos_bolt_small,0.01506,0.01991,0.20232,0.57,28000,0.00361,ok
ucr,084_UCR_Anomaly_DISTORTEDs20101mML2_12000_35774_35874,DISTORTEDs20101mML2,chronos_bolt_base,0.01307,0.01704,0.20677,0.91,28000,0.00361,ok
ucr,090_UCR_Anomaly_DISTORTEDtiltAPB2_50000_124159_124985,DISTORTEDtiltAPB2,iforest,0.01837,0.0186,0.14373,3.15,78767,0.0105,ok
ucr,090_UCR_Anomaly_DISTORTEDtiltAPB2_50000_124159_124985,DISTORTEDtiltAPB2,lof,0.13741,0.13132,0.52083,4.63,78767,0.0105,ok
ucr,090_UCR_Anomaly_DISTORTEDtiltAPB2_50000_124159_124985,DISTORTEDtiltAPB2,ae,0.15967,0.15376,0.49647,9.89,78767,0.0105,ok
ucr,090_UCR_Anomaly_DISTORTEDtiltAPB2_50000_124159_124985,DISTORTEDtiltAPB2,chronos_bolt_small,0.01151,0.01216,0.12314,1.38,78767,0.0105,ok
ucr,090_UCR_Anomaly_DISTORTEDtiltAPB2_50000_124159_124985,DISTORTEDtiltAPB2,chronos_bolt_base,0.01117,0.01193,0.14086,2.41,78767,0.0105,ok
ucr,097_UCR_Anomaly_NOISEGP711MarkerLFM5z3_5000_5948_5993,NOISEGP711MarkerLFM5z3,iforest,0.66471,0.58946,0.78785,0.9,7000,0.00657,ok
ucr,097_UCR_Anomaly_NOISEGP711MarkerLFM5z3_5000_5948_5993,NOISEGP711MarkerLFM5z3,lof,0.94184,0.9352,0.93232,0.22,7000,0.00657,ok
ucr,097_UCR_Anomaly_NOISEGP711MarkerLFM5z3_5000_5948_5993,NOISEGP711MarkerLFM5z3,ae,0.72778,0.78843,0.80906,1.07,7000,0.00657,ok
