dataset,series,domain,anomaly_kind,detector,tier,config,auc_pr,vus_pr,affil_f1,event_f1,runtime_s,tune_s,peak_mb,n_test,n_channels,anomaly_frac,status
nasa,E-1,smap,contextual,chronos_small_resid,default,,0.05744,0.08218,0.79248,0.10917,30.86,,249.5,8516,25,0.05965,ok
nasa,E-1,smap,contextual,chronos_small_quantile,default,,0.0726,0.09656,0.75131,0.12675,30.86,,249.5,8516,25,0.05965,ok
nasa,E-1,smap,contextual,chronos_base_resid,default,,0.06212,0.08883,0.75724,0.13722,4.4,,892.2,8516,25,0.05965,ok
nasa,E-1,smap,contextual,chronos_base_quantile,default,,0.07106,0.10031,0.75907,0.12584,4.4,,892.2,8516,25,0.05965,ok
nasa,E-1,smap,contextual,timesfm_resid,default,,0.05529,0.08048,0.7553,0.12195,51.46,,1894.7,8516,25,0.05965,ok
nasa,E-1,smap,contextual,timesfm_quantile,default,,0.06743,0.08847,0.81296,0.13796,51.46,,1894.7,8516,25,0.05965,ok
nasa,E-1,smap,contextual,tirex_resid,default,,0.06167,0.08902,0.7545,0.10943,105.25,,2025.3,8516,25,0.05965,ok
nasa,E-1,smap,contextual,tirex_quantile,default,,0.06459,0.08595,0.77141,0.06692,105.25,,2025.3,8516,25,0.05965,ok
nasa,E-1,smap,contextual,iforest,default,,0.04068,0.06676,0.75313,0.04173,1.85,,1585.6,8516,25,0.05965,ok
nasa,E-1,smap,contextual,iforest,tuned,"{'w': 50, 'n_estimators': 100}",0.05166,0.07419,0.80722,0.19252,1.52,6.04,0.0,8516,25,0.05965,ok
nasa,E-1,smap,contextual,lof,default,,0.49566,0.43937,0.79574,0.46648,1.59,,1585.6,8516,25,0.05965,ok
nasa,E-1,smap,contextual,lof,tuned,"{'w': 200, 'k': 10}",0.55378,0.49953,0.83065,0.48804,1.37,2.27,0.0,8516,25,0.05965,ok
nasa,E-1,smap,contextual,knn,default,,0.52611,0.4758,0.8159,0.59159,0.65,,1585.6,8516,25,0.05965,ok
nasa,E-1,smap,contextual,knn,tuned,"{'w': 50, 'k': 3}",0.5769,0.50222,0.98851,0.84537,1.5,1.63,0.0,8516,25,0.05965,ok
nasa,E-1,smap,contextual,ae,default,,0.10835,0.15424,0.75026,0.1949,2.15,,1773.4,8516,25,0.05965,ok
nasa,E-1,smap,contextual,ae,tuned,"{'w': 200, 'hidden': 32, 'latent': 16}",0.1255,0.19143,0.76025,0.23459,3.12,7.32,0.0,8516,25,0.05965,ok
nasa,E-4,smap,point,chronos_small_resid,default,,0.19966,0.20711,0.7896,0.22222,1.31,,1738.6,8354,25,0.33661,ok
nasa,E-4,smap,point,chronos_small_quantile,default,,0.27252,0.28272,0.6409,0.08428,1.31,,1738.6,8354,25,0.33661,ok
nasa,E-4,smap,point,chronos_base_resid,default,,0.19799,0.20626,0.50676,0.03597,2.76,,1970.5,8354,25,0.33661,ok
